Simulation of solar system over 100 years, with 1316134912 iterations, using perihelion´s method.
Time 	sun	 	mercury	 	
angle: 21.5632859	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.21465913e-05 , 0
angle: 21.6182992	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.22286051e-05 , 0
angle: 21.6733077	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.2310612e-05 , 0
angle: 21.7283116	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.23926119e-05 , 0
angle: 21.7833106	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.24746045e-05 , 0
angle: 21.8383063	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.25565922e-05 , 0
angle: 21.8932972	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.26385727e-05 , 0
angle: 21.9482837	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.27205468e-05 , 0
angle: 22.0032654	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.28025136e-05 , 0
angle: 22.0582422	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.2884473e-05 , 0
angle: 22.7472303	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.3911618e-05 , 0
angle: 22.8021992	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.39935658e-05 , 0
angle: 22.8571647	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.40755084e-05 , 0
angle: 22.9121271	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.41574465e-05 , 0
angle: 22.9670855	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.42393786e-05 , 0
angle: 23.0220394	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.4321304e-05 , 0
angle: 23.0769892	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.44032232e-05 , 0
angle: 23.1319339	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.44851349e-05 , 0
angle: 23.1868727	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.45670379e-05 , 0
angle: 23.241807	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.46489339e-05 , 0
angle: 23.2967369	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.47308236e-05 , 0
angle: 23.3516628	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.48127073e-05 , 0
angle: 23.4065851	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.48945854e-05 , 0
angle: 24.0955178	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.59216478e-05 , 0
angle: 24.1504289	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.60035094e-05 , 0
angle: 24.2053352	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.60853638e-05 , 0
angle: 24.2602376	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.61672125e-05 , 0
angle: 24.3151358	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.62490547e-05 , 0
angle: 24.3700295	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.63308904e-05 , 0
angle: 24.4249181	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.64127184e-05 , 0
angle: 24.4798027	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.64945404e-05 , 0
angle: 24.5346832	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.65763565e-05 , 0
angle: 24.5895587	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.66581649e-05 , 0
angle: 24.64443	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.67399673e-05 , 0
angle: 24.6992973	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.68217634e-05 , 0
angle: 24.7541606	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.69035538e-05 , 0
angle: 25.443035	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.79305292e-05 , 0
angle: 25.4978889	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.80123055e-05 , 0
angle: 25.5527388	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.80940758e-05 , 0
angle: 25.6075838	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.81758388e-05 , 0
angle: 25.6624238	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.82575945e-05 , 0
angle: 25.7172595	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.83393436e-05 , 0
angle: 25.7720912	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.84210869e-05 , 0
angle: 25.8269196	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.85028252e-05 , 0
angle: 25.8817444	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.8584558e-05 , 0
angle: 25.9365661	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.86662864e-05 , 0
angle: 25.9913844	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.87480097e-05 , 0
angle: 26.0461996	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.88297282e-05 , 0
angle: 26.1010127	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.89114436e-05 , 0
angle: 26.7898385	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 3.99383466e-05 , 0
angle: 26.8446457	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 4.00200533e-05 , 0
angle: 26.89945	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 4.01017557e-05 , 0
angle: 26.9542514	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 4.01834537e-05 , 0
angle: 27.0090494	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 4.02651467e-05 , 0
angle: 27.0638442	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 4.03468349e-05 , 0
angle: 27.1186368	 distance: 0.3075	 Position(x,y,z): 0.307499998 , 4.04285199e-05 , 0
angle: 27.1734266	 distance: 0.3075	 Position(x,y,z): 0.307499997 , 4.05102005e-05 , 0
angle: 27.2282135	 distance: 0.3075	 Position(x,y,z): 0.307499997 , 4.05918769e-05 , 0
angle: 27.282999	 distance: 0.3075	 Position(x,y,z): 0.307499997 , 4.06735514e-05 , 0
angle: 27.337782	 distance: 0.3075	 Position(x,y,z): 0.307499997 , 4.07552219e-05 , 0
angle: 27.3925621	 distance: 0.3075	 Position(x,y,z): 0.307499997 , 4.08368883e-05 , 0
